Date,Close,High,Low,Open,Volume
2021-07-12,28532.349609375,28854.55078125,28421.55078125,28837.05078125,0
2021-07-13,28439.75,28681.19921875,28381.900390625,28674.69921875,0
2021-07-14,29339.849609375,29376.900390625,28534.849609375,28581.25,0
2021-07-15,29718.05078125,29835.900390625,29284.80078125,29303.349609375,0
2021-07-16,29400.25,29734.75,29287.25,29734.75,0
2021-07-19,29264.0,29592.349609375,29167.349609375,29248.30078125,0
2021-07-20,29252.5,29410.5,28992.0,29282.80078125,0
2021-07-22,29779.94921875,29808.44921875,29335.69921875,29335.69921875,0
2021-07-23,29894.30078125,30059.69921875,29848.05078125,29895.599609375,0
2021-07-26,29940.400390625,30139.19921875,29859.599609375,29886.19921875,0
2021-07-27,29892.55078125,30048.349609375,29698.94921875,29967.900390625,0
2021-07-28,29954.150390625,29993.55078125,29510.349609375,29934.05078125,0
2021-07-29,30371.400390625,30406.0,30037.099609375,30037.19921875,0
2021-07-30,30480.05078125,30818.55078125,30438.349609375,30546.849609375,0
2021-08-02,30803.05078125,30832.30078125,30547.0,30681.94921875,0
2021-08-03,31165.849609375,31196.44921875,30872.349609375,30974.75,0
2021-08-04,30977.150390625,31338.80078125,30895.44921875,31296.80078125,0
2021-08-05,31211.19921875,31560.19921875,30980.900390625,31025.150390625,0
2021-08-06,31303.30078125,31460.30078125,31057.599609375,31251.19921875,0
2021-08-09,31441.0,31685.400390625,31324.75,31523.5,0
2021-08-10,31713.400390625,31812.75,31431.150390625,31489.94921875,29900
2021-08-11,31670.0,31799.75,31522.400390625,31767.900390625,21200
2021-08-12,32245.099609375,32289.849609375,31667.349609375,31667.349609375,29100
2021-08-13,32678.80078125,32821.8984375,32264.150390625,32308.849609375,32200
2021-08-16,32577.94921875,32905.3515625,32438.25,32671.75,18000
2021-08-17,33414.75,33487.1015625,32449.650390625,32614.0,42300
2021-08-18,33448.8984375,33840.44921875,33268.6015625,33482.8515625,29400
2021-08-20,33351.3515625,33652.3984375,32949.8984375,32954.19921875,28500
2021-08-23,33919.80078125,34153.3984375,33567.3515625,33582.1484375,36600
2021-08-24,33838.3984375,34262.6015625,33634.75,34145.25,28600
2021-08-25,34083.94921875,34399.8515625,33764.1015625,33887.75,25300
2021-08-26,34041.1015625,34375.94921875,33929.69921875,34092.8984375,21000
2021-08-27,34309.80078125,34392.8515625,33799.05078125,34036.44921875,26200
2021-08-30,34109.25,34480.1484375,34027.5,34338.75,21200
2021-08-31,34570.25,34680.6484375,34043.6015625,34205.80078125,40000
2021-09-01,34110.5,34780.0,34037.1484375,34698.75,22300
2021-09-02,34680.30078125,34846.8984375,34051.8984375,34218.25,27500
2021-09-03,34891.19921875,34997.69921875,34490.6484375,34744.44921875,20900
2021-09-06,35415.1015625,35464.3984375,34855.94921875,34992.05078125,27600
2021-09-07,34951.30078125,35581.55078125,34906.8515625,35549.30078125,19400
2021-09-08,34678.19921875,34979.30078125,34515.44921875,34973.8984375,22700
2021-09-09,34802.30078125,34862.8515625,34530.0,34676.19921875,18000
2021-09-13,35129.6015625,35242.5,34573.69921875,34688.30078125,21100
2021-09-14,35431.5,35476.8984375,35020.69921875,35224.25,20200
2021-09-15,36075.19921875,36200.0,35375.3515625,35462.3515625,23100
2021-09-16,35852.44921875,36310.75,35694.8515625,36151.3515625,19500
2021-09-17,35646.5,36131.25,35527.0,35915.3984375,30300
2021-09-20,35400.05078125,36130.55078125,35346.19921875,35462.3984375,22500
2021-09-21,36086.05078125,36127.80078125,35332.8515625,35609.1015625,19600
2021-09-22,36422.44921875,36713.1484375,36145.94921875,36154.05078125,25700
2021-09-23,36816.8984375,36867.44921875,36532.44921875,36691.94921875,16700
2021-09-24,37103.25,37823.1484375,37055.0,37128.75,39400
2021-09-27,36034.3984375,37345.05078125,35968.75,37335.8984375,29900
2021-09-28,35239.94921875,36082.0,34924.55078125,36082.0,34200
2021-09-29,35282.6484375,35578.30078125,34733.94921875,34894.8984375,37000
2021-09-30,35028.0,35408.1015625,34975.6015625,35394.8984375,25400
2021-10-01,34780.6015625,35100.8984375,34719.80078125,34955.5,20000
2021-10-04,35126.1484375,35184.55078125,34778.25,34923.80078125,16800
2021-10-05,35544.30078125,35650.8515625,34781.6015625,34978.3984375,20600
2021-10-06,35075.80078125,35801.5,35003.05078125,35689.55078125,18500
2021-10-07,35703.8515625,35903.94921875,35233.30078125,35323.6015625,17800
2021-10-08,36402.0,36703.55078125,35786.30078125,35920.55078125,31000
2021-10-11,35179.94921875,35690.3984375,34768.94921875,35494.3984375,43100
2021-10-12,34869.75,35294.1484375,34512.80078125,35179.19921875,41100
2021-10-13,35285.6015625,35324.44921875,34872.3984375,35053.69921875,29400
2021-10-14,35744.8515625,36412.44921875,35571.3984375,35921.44921875,111700
2021-10-18,36306.3515625,36400.6015625,35863.3984375,36012.0,58800
2021-10-19,37106.3515625,37491.8515625,36720.0,36841.6015625,53800
2021-10-20,36846.80078125,37463.8984375,36534.5,37188.1484375,37500
2021-10-21,35913.6015625,36988.8984375,35624.5,36988.8984375,38300
2021-10-22,35394.6484375,36297.19921875,35098.19921875,35892.6484375,30400
2021-10-25,35005.3984375,35521.05078125,34529.8515625,35467.1015625,32100
2021-10-26,35162.3515625,35699.8515625,34957.75,35181.69921875,40800
2021-10-27,35503.8984375,35578.0,35163.05078125,35245.05078125,23600
2021-10-28,34913.6015625,35575.6484375,34787.1015625,35575.6484375,22600
2021-10-29,34408.75,35178.75,34288.55078125,34820.30078125,26900
2021-11-01,35290.0,35328.55078125,34654.94921875,34677.30078125,19700
